unidade_amostral;habitat;area_cm
C10;fechado;0.65
C10;fechado;0.42
C11;aberto;0.63
C11;aberto;0.63
C11;aberto;0.59
C11;fechado;0.39
C11;aberto;0.39
C11;fechado;0.37
C11;fechado;0.35
C11;fechado;0.33
C11;fechado;0.32
C11;fechado;0.31
C2;fechado;0.67
C2;aberto;0.33
C3;aberto;1.16
C3;aberto;0.53
C4;fechado;0.77
C4;aberto;0.69
C4;aberto;0.67
C4;fechado;0.51
C4;fechado;0.4
C4;aberto;0.39
C4;fechado;0.35
C4;fechado;0.34
C4;fechado;0.31
C4;fechado;0.31
C5;fechado;0.59
C5;aberto;0.42
C5;fechado;0.39
C5;aberto;0.37
C6;fechado;0.42
C6;aberto;0.38
C6;fechado;0.36
C6;fechado;0.34
C6;fechado;0.34
C6;fechado;0.34
C7;fechado;0.37
C7;fechado;0.34
C7;fechado;0.3
C8;aberto;0.95
C8;fechado;0.93
C8;fechado;0.43
C8;aberto;0.43
C8;fechado;0.41
C8;fechado;0.35
C8;fechado;0.34
C8;aberto;0.33
C8;fechado;0.33
C8;fechado;0.32
C8;aberto;0.29
C9;fechado;0.52
C9;fechado;0.48
C9;aberto;0.48
C9;aberto;0.46
C9;fechado;0.44
C9;fechado;0.39
C9;fechado;0.37
C9;fechado;0.37
C9;fechado;0.33
C9;fechado;0.31
C9;aberto;0.29
L1;aberto;0.76
L1;aberto;0.61
L1;aberto;0.31
L10;fechado;0.59
L10;fechado;0.44
L10;fechado;0.41
L11;fechado;0.62
L11;aberto;0.54
L12;fechado;0.31
L12;fechado;0.3
L13;aberto;1.12
L13;aberto;0.76
L13;aberto;0.57
L13;aberto;0.57
L13;aberto;0.53
L13;fechado;0.41
L13;fechado;0.39
L13;aberto;0.38
L13;fechado;0.34
L13;aberto;0.32
L14;fechado;1.34
L14;aberto;0.29
L15;aberto;0.54
L15;aberto;0.47
L15;aberto;0.3
L16;aberto;0.29
L17;fechado;1.4
L17;fechado;1.18
L17;fechado;1.11
L17;fechado;0.7
L17;fechado;0.66
L17;fechado;0.47
L17;fechado;0.47
L17;fechado;0.46
L17;fechado;0.45
L17;fechado;0.44
L17;fechado;0.38
L17;fechado;0.37
L17;fechado;0.35
L17;fechado;0.32
L17;fechado;0.32
L17;fechado;0.29
L18;fechado;1.32
L18;fechado;1.26
L18;fechado;0.76
L18;fechado;0.6
L18;fechado;0.45
L18;fechado;0.43
L18;fechado;0.4
L18;aberto;0.38
L18;fechado;0.37
L18;fechado;0.35
L18;fechado;0.35
L18;fechado;0.34
L18;aberto;0.33
L18;aberto;0.32
L18;fechado;0.3
L2;aberto;0.37
L2;aberto;0.3
L3;fechado;0.52
L3;fechado;0.48
L3;fechado;0.38
L3;fechado;0.32
L3;aberto;0.32
L4;aberto;0.43
L5;fechado;0.8
L5;aberto;0.59
L5;fechado;0.33
L6;fechado;0.91
L6;fechado;0.56
L6;aberto;0.51
L6;aberto;0.45
L6;aberto;0.44
L6;aberto;0.44
L6;fechado;0.35
L6;aberto;0.29
L7;fechado;0.91
L7;aberto;0.59
L7;aberto;0.57
L7;aberto;0.52
L7;aberto;0.45
L7;aberto;0.41
L7;aberto;0.37
L7;aberto;0.37
L7;aberto;0.34
L7;aberto;0.32
L7;aberto;0.32
L7;fechado;0.32
L7;aberto;0.29
L8;fechado;0.44
L8;aberto;0.32
L8;aberto;0.29
L9;fechado;0.83
L9;aberto;0.61
L9;fechado;0.43
L9;fechado;0.31
